,회사명,하위업종,상위업종
322,쿠콘,소프트웨어 개발 및 공급업,정보기술 및 통신업
323,이삭엔지니어링,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
324,해성티피씨,기타 금속 가공제품 제조업,제조업
325,엔시스,기타 전기장비 제조업,정보기술 및 통신업
326,자이언트스텝,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
327,제노코,통신 및 방송 장비 제조업,정보기술 및 통신업
328,라이프시맨틱스,소프트웨어 개발 및 공급업,정보기술 및 통신업
329,바이오다인,의료용 기기 제조업,제조업
330,네오이뮨텍,자연과학 및 공학 연구개발업,제조업
331,싸이버원,소프트웨어 개발 및 공급업,정보기술 및 통신업
332,프레스티지바이오로직스,의약품 제조업,식품 및 음료제조업
333,나노씨엠에스,전자부품 제조업,제조업
334,뷰노,소프트웨어 개발 및 공급업,정보기술 및 통신업
335,하인크코리아,그외 기타 제품 제조업,제조업
336,유일에너테크,특수 목적용 기계 제조업,제조업
337,씨이랩,소프트웨어 개발 및 공급업,정보기술 및 통신업
338,오로스테크놀로지,특수 목적용 기계 제조업,제조업
339,피엔에이치테크,기초 화학물질 제조업,제조업
340,모비데이즈,광고업,서비스업
341,아이퀘스트,소프트웨어 개발 및 공급업,정보기술 및 통신업
342,레인보우로보틱스,특수 목적용 기계 제조업,제조업
343,와이더플래닛,소프트웨어 개발 및 공급업,정보기술 및 통신업
344,핑거,소프트웨어 개발 및 공급업,정보기술 및 통신업
345,모비릭스,소프트웨어 개발 및 공급업,정보기술 및 통신업
346,씨앤투스,기타 섬유제품 제조업,제조업
347,선진뷰티사이언스,기타 화학제품 제조업,제조업
348,엔비티,광고업,서비스업
349,파이버프로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
350,블리츠웨이,"인형,장난감 및 오락용품 제조업",제조업
351,석경에이티,기초 화학물질 제조업,제조업
352,지놈앤컴퍼니,기초 의약물질 및 생물학적 제제 제조업,제조업
353,프리시젼바이오,의료용 기기 제조업,제조업
354,알체라,소프트웨어 개발 및 공급업,정보기술 및 통신업
355,하이딥,반도체 제조업,제조업
356,에프앤가이드,기타 정보 서비스업,서비스업
357,티엘비,전자부품 제조업,제조업
358,인바이오,"비료, 농약 및 살균, 살충제 제조업",제조업
359,엔젠바이오,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
360,퀀타매트릭스,의료용 기기 제조업,제조업
361,클리노믹스,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
